"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead1Kb:JVMCPU","thrpt",3,5,15218.000000,216.801854,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead1Kb:MemAlloc","thrpt",3,5,4161960.996000,2533083.211300,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead1Kb:ThreadCPU","thrpt",3,5,4968.200000,25.162124,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead56Kb","thrpt",3,5,293.478497,108.777390,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead56Kb:GC-Collections","thrpt",3,5,13.200000,15.257493,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead56Kb:GC-Time","thrpt",3,5,46.400000,33.855023,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead56Kb:JVMCPU","thrpt",3,5,18134.000000,1255.038220,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead56Kb:MemAlloc","thrpt",3,5,4067975.114000,2706084.556507,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead56Kb:ThreadCPU","thrpt",3,5,5918.000000,1035.740904,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead614Kb","thrpt",3,5,305.436816,88.694146,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead614Kb:GC-Collections","thrpt",3,5,40.400000,53.674717,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead614Kb:GC-Time","thrpt",3,5,181.200000,132.425207,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead614Kb:JVMCPU","thrpt",3,5,71788.000000,18065.438702,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectStringRead614Kb:MemAlloc","thrpt",3,5,17378524.956000,14097207.141025,"Memory Allocated kB"
